nflId,displayName,position,Team,final_rating
54520.0,Trey McBride,TE,ARI,3
38779.0,Kelvin Beachum,T,ARI,1
42367.0,D.J. Humphries,T,ARI,9
39965.0,Justin Pugh,G,ARI,9
42476.0,Max Garcia,G,ARI,1
46103.0,Will Hernandez,G,ARI,8
47821.0,Cody Ford,G,ARI,6
52480.0,Josh Jones,G,ARI,4
37130.0,Rodney Hudson,C,ARI,1
44949.0,Sean Harlow,C,ARI,9
46090.0,Billy Price,C,ARI,9
54680.0,Lecitus Smith,C,ARI,4
34754.0,Chase Daniel,QB,LAC,1
52414.0,Justin Herbert,QB,LAC,1
45573.0,Austin Ekeler,RB,LAC,9
46100.0,Sony Michel,RB,LAC,4
52520.0,Joshua Kelley,RB,LAC,6
54588.0,Isaiah Spiller,RB,LAC,2
54725.0,Zander Horvath,RB,LAC,1
40024.0,Keenan Allen,WR,LAC,7
42794.0,DeAndre Carter,WR,LAC,5
44819.0,Mike Williams,WR,LAC,7
48556.0,Jalen Guyton,WR,LAC,9
48576.0,Jason Moore,WR,LAC,1
53244.0,Michael Bandy,WR,LAC,3
53506.0,Josh Palmer,WR,LAC,5
41327.0,Richard Rodgers,TE,LAC,1
44856.0,Gerald Everett,TE,LAC,9
48456.0,Donald Parham,TE,LAC,7
53526.0,Tre' McKitty,TE,LAC,2
45630.0,Storm Norton,T,LAC,1
47874.0,Trey Pipkins,T,LAC,1
53442.0,Rashawn Slater,T,LAC,9
41959.0,Matt Feiler,G,LAC,8
53588.0,Brenden Jaimes,G,LAC,3
54482.0,Zion Johnson,G,LAC,1
54660.0,Jamaree Salyer,G,LAC,9
41390.0,Corey Linsley,C,LAC,9
46314.0,Will Clapp,C,LAC,1
38632.0,Kirk Cousins,QB,MIN,1
44853.0,Dalvin Cook,RB,MIN,9
47885.0,Alexander Mattison,RB,MIN,1
43971.0,C.J. Ham,FB,MIN,1
40488.0,Adam Thielen,WR,MIN,3
52429.0,Jalen Reagor,WR,MIN,2
52430.0,Justin Jefferson,WR,MIN,9
52584.0,K.J. Osborn,WR,MIN,3
54656.0,Jalen Nailor,WR,MIN,1
45094.0,Johnny Mundt,TE,MIN,6
45281.0,Jacob Hollister,TE,MIN,1
47791.0,T.J. Hockenson,TE,MIN,4
47833.0,Irv Smith,TE,MIN,9
52725.0,Ben Ellefson,TE,MIN,5
46131.0,Brian O'Neill,T,MIN,9
53452.0,Christian Darrisaw,T,MIN,1
47976.0,Olisaemeka Udoh,G,MIN,1
52466.0,Ezra Cleveland,G,MIN,1
52611.0,Blake Brandel,G,MIN,1
54524.0,Ed Ingram,G,MIN,9
46370.0,Austin Schlottmann,C,MIN,1
47801.0,Garrett Bradbury,C,MIN,1
38538.0,Ryan Tannehill,QB,TEN,9
54551.0,Malik Willis,QB,TEN,1
43334.0,Derrick Henry,RB,TEN,9
46506.0,Dontrell Hilliard,RB,TEN,7
54596.0,Hassan Haskins,RB,TEN,1
53896.0,Tory Carter,FB,TEN,1
39646.0,Josh Gordon,WR,TEN,1
39989.0,Robert Woods,WR,TEN,9
42419.0,Chris Conley,WR,TEN,1
45280.0,Cody Hollister,WR,TEN,4
53068.0,Mason Kinsey,WR,TEN,2
53074.0,Nick Westbrook-Ikhine,WR,TEN,4
53538.0,Dez Fitzpatrick,WR,TEN,1
54483.0,Treylon Burks,WR,TEN,9
54628.0,Kyle Philips,WR,TEN,7
42589.0,Geoff Swaim,TE,TEN,2
43370.0,Austin Hooper,TE,TEN,6
46446.0,Kevin Rader,TE,TEN,1
54608.0,Chigoziem Okonkwo,TE,TEN,9
41237.0,Taylor Lewan,T,TEN,5
47995.0,Dennis Daley,T,TEN,3
53482.0,Dillon Radunz,T,TEN,9
54534.0,Nicholas Petit-Frere,T,TEN,1
47865.0,Nate Davis,G,TEN,1
53063.0,Aaron Brewer,G,TEN,9
38629.0,Ben Jones,C,TEN,1
45030.0,Corey Levin,C,TEN,1
43424.0,Dak Prescott,QB,DAL,9
45536.0,Cooper Rush,QB,DAL,1
43293.0,Ezekiel Elliott,RB,DAL,5
47911.0,Tony Pollard,RB,DAL,9
53041.0,Rico Dowdle,RB,DAL,1
55151.0,Malik Davis,RB,DAL,3
45052.0,Noah Brown,WR,DAL,6
46150.0,Michael Gallup,WR,DAL,3
52425.0,CeeDee Lamb,WR,DAL,9
53117.0,Kavontae Turpin,WR,DAL,1
53608.0,Simi Fehoko,WR,DAL,3
54553.0,Jalen Tolbert,WR,DAL,1
55158.0,Dennis Houston,WR,DAL,1
46206.0,Dalton Schultz,TE,DAL,9
52934.0,Sean McKeon,TE,DAL,1
54594.0,Jake Ferguson,TE,DAL,1
55157.0,Peyton Hendershot,TE,DAL,7
29550.0,Jason Peters,T,DAL,3
52938.0,Terence Steele,T,DAL,1
54489.0,Tyler Smith,T,DAL,9
41242.0,Zack Martin,G,DAL,9
47873.0,Connor McGovern,G,DAL,1
53667.0,Matt Farniok,G,DAL,6
52554.0,Tyler Biadasz,C,DAL,1
39987.0,Geno Smith,QB,SEA,1
46096.0,Rashaad Penny,RB,SEA,9
47987.0,Travis Homer,RB,SEA,9
52552.0,DeeJay Dallas,RB,SEA,1
54506.0,Kenneth Walker,RB,SEA,5
40026.0,Marquise Goodwin,WR,SEA,7
42412.0,Tyler Lockett,WR,SEA,9
47847.0,DK Metcalf,WR,SEA,9
48119.0,Penny Hart,WR,SEA,7
53485.0,D'Wayne Eskridge,WR,SEA,3
54023.0,Cade Johnson,WR,SEA,1
54698.0,Dareke Young,WR,SEA,1
46189.0,Will Dissly,TE,SEA,2
47803.0,Noah Fant,TE,SEA,1
52541.0,Colby Parkinson,TE,SEA,9
53637.0,Stone Forsythe,T,SEA,1
54006.0,Jake Curhan,T,SEA,3
54474.0,Charles Cross,T,SEA,9
54537.0,Abraham Lucas,T,SEA,1
41310.0,Gabe Jackson,G,SEA,1
45056.0,Kyle Fuller,G,SEA,9
47907.0,Phil Haynes,G,SEA,2
52477.0,Damien Lewis,G,SEA,3
43537.0,Austin Blythe,C,SEA,1
33138.0,Chad Henne,QB,KC,1
44822.0,Patrick Mahomes,QB,KC,9
41325.0,Jerick McKinnon,RB,KC,1
52440.0,Clyde Edwards-Helaire,RB,KC,9
54716.0,Isiah Pacheco,RB,KC,6
42511.0,Michael Burton,FB,KC,1
44874.0,JuJu Smith-Schuster,WR,KC,9
45369.0,Marcus Kemp,WR,KC,1
46213.0,Justin Watson,WR,KC,4
46243.0,Marquez Valdes-Scantling,WR,KC,5
47839.0,Mecole Hardman,WR,KC,7
53074.0,Nick Westbrook-Ikhine,WR,KC,1
53449.0,Kadarius Toney,WR,KC,4
54519.0,Skyy Moore,WR,KC,5
40011.0,Travis Kelce,TE,KC,9
53591.0,Noah Gray,TE,KC,1
45695.0,Andrew Wylie,T,KC,9
46143.0,Geron Christian,T,KC,1
46152.0,Orlando Brown,T,KC,8
52618.0,Prince Tega Wanogho,T,KC,1
43367.0,Joe Thuney,G,KC,1
47999.0,Nick Allegretti,G,KC,9
53655.0,Trey Smith,G,KC,4
53492.0,Creed Humphrey,C,KC,1
46101.0,Lamar Jackson,QB,BAL,1
42469.0,Mike Davis,RB,BAL,1
43362.0,Kenyan Drake,RB,BAL,6
46437.0,Gus Edwards,RB,BAL,9
47896.0,Justice Hill,RB,BAL,4
52463.0,J.K. Dobbins,RB,BAL,6
45268.0,Patrick Ricard,FB,BAL,1
33130.0,DeSean Jackson,WR,BAL,3
